hh:mm:ss,Total(Mbps),Video(Mbps),Download(Mbps),QoS On Flag,DL_BW_Limit(Mbps),Video_Loss(%),Event_Message
18:45:27,0.0,0.0,0.0,0,10.0,0.0,-
18:45:28,0.0,0.0,0.0,0,10.0,0.0,-
18:45:29,0.0,0.0,0.0,0,10.0,0.0,-
18:45:30,0.0,0.0,0.0,0,10.0,0.0,-
18:45:31,0.0,0.0,0.0,0,10.0,0.0,-
18:45:32,0.0,0.0,0.0,0,10.0,0.0,-
18:45:33,0.0,0.0,0.0,0,10.0,0.0,-
18:45:34,8.01,8.01,0.0,0,10.0,0.0,-
18:45:35,8.0,8.0,0.0,0,10.0,0.0,-
18:45:36,8.0,8.0,0.0,0,10.0,0.0,-
18:45:37,8.0,8.0,0.0,0,10.0,0.0,-
18:45:38,8.0,8.0,0.0,0,10.0,0.0,-
18:45:39,9.22,7.3,1.92,0,10.0,2.93,-
18:45:40,10.04,6.96,3.08,0,10.0,4.49,-
18:45:41,9.22,6.26,2.96,1,1.0,4.49,QoS ON (DL_BW=1MB)
18:45:42,10.89,7.29,3.6,0,1.0,1.56,-
18:45:43,9.65,7.3,2.35,0,1.0,0.01,-
18:45:44,9.82,8.86,0.96,0,1.5,0.01,DL_BW Increase
18:45:45,9.9,8.86,1.04,0,1.5,0.0,-
18:45:46,9.7,7.82,1.88,0,1.5,0.0,-
18:45:47,9.39,8.34,1.05,0,2.0,0.0,DL_BW Increase
18:45:48,9.9,8.87,1.03,0,2.0,0.0,-
18:45:49,9.65,7.81,1.84,0,2.0,0.01,-
18:45:50,9.55,6.78,2.77,0,2.5,0.01,DL_BW Increase
18:45:51,9.83,6.78,3.05,0,2.5,0.01,-
18:45:52,9.47,6.78,2.69,0,2.5,0.0,-
18:45:53,9.88,6.78,3.1,0,2.5,0.0,-
18:45:54,9.37,7.3,2.07,0,2.5,0.0,-
18:45:55,9.88,7.82,2.06,0,2.5,0.0,-
18:45:56,9.31,7.3,2.01,0,2.5,0.0,-
18:45:57,9.77,7.82,1.95,0,2.5,0.0,-
18:45:58,9.86,7.82,2.04,0,2.5,0.0,-
18:45:59,9.88,7.82,2.06,0,2.5,0.0,-
18:46:00,9.21,7.3,1.91,0,2.5,0.0,-
18:46:01,9.87,7.82,2.05,0,2.5,0.01,-
18:46:02,9.78,7.82,1.96,0,2.5,0.01,-
18:46:03,9.27,7.3,1.97,0,2.5,0.01,-
18:46:04,9.89,7.82,2.07,0,2.5,0.0,-
18:46:05,9.3,7.3,2.0,0,2.5,0.0,-
18:46:06,9.78,7.82,1.96,0,2.5,0.0,-
18:46:07,9.86,7.82,2.04,0,2.5,0.0,-
18:46:08,9.3,7.3,2.0,0,2.5,0.0,-
18:46:09,9.78,7.82,1.96,0,2.5,0.0,-
18:46:10,9.87,7.82,2.05,0,2.5,0.0,-
18:46:11,9.28,7.3,1.98,0,2.5,0.0,-
18:46:12,10.14,8.34,1.8,0,2.5,0.0,-
18:46:13,9.56,8.87,0.69,0,2.5,0.0,-
18:46:14,9.58,9.39,0.19,0,2.5,0.0,-
18:46:15,9.38,9.38,0.0,0,10.0,0.01,QoS OFF
18:46:16,10.43,10.43,0.0,0,10.0,0.01,-
18:46:17,9.91,9.91,0.0,0,10.0,0.01,-
18:46:18,9.38,9.38,0.0,0,10.0,0.0,-
18:46:19,9.91,9.91,0.0,0,10.0,0.0,-
18:46:20,9.38,9.38,0.0,0,10.0,0.0,-
18:46:21,9.86,9.86,0.0,0,10.0,0.0,-
18:46:22,9.04,9.04,0.0,0,10.0,0.0,-
18:46:23,8.0,8.0,0.0,0,10.0,0.0,-
18:46:24,8.0,8.0,0.0,0,10.0,0.01,-
18:46:25,8.0,8.0,0.0,0,10.0,0.01,-
18:46:26,8.0,8.0,0.0,0,10.0,0.01,-
18:46:27,8.01,8.01,0.0,0,10.0,0.0,-
18:46:28,8.0,8.0,0.0,0,10.0,0.0,-
18:46:29,8.0,8.0,0.0,0,10.0,0.01,-
18:46:30,8.0,8.0,0.0,0,10.0,0.01,-
18:46:31,8.0,8.0,0.0,0,10.0,0.01,-
18:46:32,4.87,4.87,0.0,0,10.0,0.0,-
18:46:33,0.0,0.0,0.0,0,10.0,0.0,-
18:46:34,0.0,0.0,0.0,0,10.0,0.0,-
18:46:35,0.0,0.0,0.0,0,10.0,0.0,-
18:46:36,0.0,0.0,0.0,0,10.0,0.0,-
18:46:37,0.0,0.0,0.0,0,10.0,0.0,-
18:46:38,0.0,0.0,0.0,0,10.0,0.0,-
18:46:39,0.0,0.0,0.0,0,10.0,0.0,-
18:46:40,0.0,0.0,0.0,0,10.0,0.0,-
18:46:41,0.0,0.0,0.0,0,10.0,0.0,-
