hh:mm:ss,Total(Mbps),Video(Mbps),Download(Mbps),Video_Loss_3sec_Avg(%),Video_loss(%),Estimated_Delay(ms)
18:09:27,0.0,0.0,0.0,0.0,0.0,5.0
18:09:28,0.0,0.0,0.0,0.0,0.0,5.0
18:09:29,0.0,0.0,0.0,0.0,0.0,5.0
18:09:30,0.0,0.0,0.0,0.0,0.0,5.0
18:09:31,0.0,0.0,0.0,0.0,0.0,5.0
18:09:32,0.0,0.0,0.0,0.0,0.0,5.0
18:09:33,0.0,0.0,0.0,0.0,0.0,5.0
18:09:34,0.0,0.0,0.0,0.0,0.0,5.0
18:09:35,0.0,0.0,0.0,0.0,0.0,5.0
18:09:36,0.0,0.0,0.0,0.0,0.0,5.0
18:09:37,0.0,0.0,0.0,0.0,0.0,5.0
18:09:38,0.0,0.0,0.0,0.0,0.0,5.0
18:09:39,0.0,0.0,0.0,0.0,0.0,5.0
18:09:40,2.57,2.57,0.0,6.14,18.41,10.1
18:09:41,7.95,7.95,0.0,7.97,5.52,20.9
18:09:42,8.1,8.1,0.0,7.98,0.0,21.2
18:09:43,8.01,8.01,0.0,1.84,0.0,21.0
18:09:44,8.0,8.0,0.0,0.0,0.0,21.0
18:09:45,8.0,8.0,0.0,0.0,0.0,21.0
18:09:46,8.0,8.0,0.0,0.0,0.0,21.0
18:09:47,8.0,8.0,0.0,0.0,0.0,21.0
18:09:48,8.0,8.0,0.0,0.0,0.0,21.0
18:09:49,9.56,7.48,2.08,0.0,0.0,96.5
18:09:50,9.61,8.0,1.61,0.0,0.0,97.4
18:09:51,9.62,8.0,1.62,0.0,0.0,97.5
18:09:52,10.05,8.53,1.53,0.0,0.0,505.3
18:09:53,9.14,7.48,1.66,0.01,0.03,88.6
18:09:54,10.03,8.52,1.5,0.01,0.0,502.5
18:09:55,9.19,7.48,1.71,0.01,0.0,89.5
18:09:56,9.98,8.52,1.46,0.0,0.0,104.6
18:09:57,9.71,8.0,1.71,0.0,0.0,99.3
18:09:58,9.58,7.99,1.58,0.01,0.02,96.7
18:09:59,9.59,8.0,1.58,0.01,0.0,96.9
18:10:00,9.59,8.0,1.58,0.01,0.0,97.0
18:10:01,9.59,8.0,1.58,0.0,0.0,96.9
18:10:02,9.59,8.0,1.58,0.0,0.0,96.9
18:10:03,9.58,8.0,1.58,0.0,0.0,96.7
18:10:04,9.58,8.0,1.58,0.0,0.0,96.8
18:10:05,9.59,8.0,1.58,0.01,0.03,96.9
18:10:06,9.58,8.0,1.58,0.01,0.0,96.8
18:10:07,9.58,8.0,1.58,0.01,0.0,96.8
18:10:08,9.58,8.0,1.58,0.01,0.02,96.9
18:10:09,9.59,8.0,1.58,0.01,0.0,96.9
18:10:10,9.59,8.0,1.58,0.01,0.0,96.9
18:10:11,9.59,8.01,1.59,0.0,0.0,97.0
18:10:12,9.58,7.99,1.58,0.01,0.02,96.7
18:10:13,9.59,8.01,1.58,0.01,0.0,97.0
18:10:14,9.58,8.0,1.58,0.01,0.0,96.9
18:10:15,9.58,8.0,1.58,0.0,0.0,96.9
18:10:16,9.58,8.0,1.58,0.01,0.02,96.8
18:10:17,9.59,8.0,1.58,0.01,0.0,97.0
18:10:18,9.59,8.0,1.58,0.01,0.0,96.9
18:10:19,9.59,8.01,1.58,0.0,0.0,97.0
18:10:20,9.58,7.99,1.58,0.0,0.0,96.7
18:10:21,9.67,8.0,1.67,0.0,0.0,98.5
18:10:22,9.59,8.01,1.58,0.01,0.02,97.0
18:10:23,9.58,8.0,1.58,0.01,0.0,96.9
18:10:24,9.58,8.0,1.58,0.01,0.0,96.8
18:10:25,9.58,8.0,1.58,0.0,0.0,96.8
18:10:26,9.58,8.0,1.58,0.01,0.02,96.7
18:10:27,9.59,8.0,1.58,0.01,0.0,96.9
18:10:28,9.58,8.0,1.58,0.01,0.02,96.7
18:10:29,9.59,8.01,1.58,0.01,0.0,97.0
18:10:30,9.59,8.01,1.58,0.01,0.0,97.0
18:10:31,9.59,8.0,1.58,0.0,0.01,96.9
18:10:32,10.1,8.52,1.58,0.0,0.0,510.2
18:10:33,9.58,8.0,1.58,2.04,6.11,96.8
18:10:34,9.58,8.0,1.58,2.04,0.0,96.8
18:10:35,9.59,8.0,1.58,2.04,0.0,96.9
18:10:36,8.41,6.96,1.45,0.01,0.02,21.8
18:10:37,9.57,8.0,1.57,0.01,0.0,96.5
18:10:38,9.43,8.52,0.9,0.01,0.0,93.8
18:10:39,9.51,8.53,0.98,0.0,0.01,95.4
18:10:40,9.45,8.0,1.45,0.0,0.0,94.3
18:10:41,8.54,7.48,1.06,0.0,0.0,22.1
18:10:42,9.45,8.53,0.92,0.0,0.01,94.2
18:10:43,9.4,7.48,1.92,0.0,0.0,93.3
18:10:44,9.9,8.0,1.9,0.0,0.0,103.0
18:10:45,9.14,7.48,1.67,0.0,0.0,88.6
18:10:47,9.87,8.0,1.87,0.0,0.0,102.4
18:10:48,9.37,7.47,1.9,0.0,0.01,92.8
18:10:49,9.48,7.3,2.19,0.01,0.02,95.0
18:10:50,9.57,7.3,2.28,0.01,0.0,96.6
18:10:51,9.65,6.78,2.87,0.01,0.0,98.1
18:10:52,9.92,8.86,1.06,0.0,0.0,103.4
18:10:53,9.38,9.38,0.0,0.0,0.0,93.1
18:10:54,9.95,9.95,0.0,0.0,0.0,104.0
18:10:55,8.52,8.52,0.0,0.0,0.0,22.0
18:10:56,8.0,8.0,0.0,0.0,0.0,21.0
18:10:57,8.0,8.0,0.0,0.01,0.02,21.0
18:10:58,8.01,8.01,0.0,0.01,0.02,21.0
18:10:59,8.0,8.0,0.0,0.01,0.0,21.0
18:11:00,8.0,8.0,0.0,0.01,0.0,21.0
18:11:01,8.0,8.0,0.0,0.0,0.0,21.0
18:11:02,8.0,8.0,0.0,0.0,0.0,21.0
18:11:03,8.0,8.0,0.0,0.0,0.0,21.0
18:11:04,8.0,8.0,0.0,0.0,0.0,21.0
18:11:05,8.0,8.0,0.0,0.0,0.0,21.0
18:11:06,8.0,8.0,0.0,0.0,0.0,21.0
18:11:07,8.0,8.0,0.0,0.0,0.0,21.0
18:11:08,8.01,8.01,0.0,0.0,0.0,21.0
18:11:09,7.99,7.99,0.0,0.01,0.02,21.0
18:11:10,8.0,8.0,0.0,0.01,0.0,21.0
18:11:11,8.01,8.01,0.0,0.01,0.0,21.0
18:11:12,8.0,8.0,0.0,0.0,0.0,21.0
18:11:13,8.0,8.0,0.0,0.0,0.0,21.0
18:11:14,8.52,8.52,0.0,0.0,0.0,22.0
18:11:15,8.01,8.01,0.0,0.0,0.01,21.0
18:11:16,8.0,8.0,0.0,0.0,0.0,21.0
18:11:17,8.0,8.0,0.0,0.0,0.0,21.0
18:11:18,8.0,8.0,0.0,0.0,0.0,21.0
18:11:19,8.0,8.0,0.0,0.0,0.0,21.0
18:11:20,8.0,8.0,0.0,0.0,0.0,21.0
18:11:21,3.83,3.83,0.0,0.0,0.0,12.7
18:11:22,0.0,0.0,0.0,0.0,0.0,5.0
18:11:23,0.0,0.0,0.0,0.0,0.0,5.0
18:11:24,0.0,0.0,0.0,0.0,0.0,5.0
18:11:25,0.0,0.0,0.0,0.0,0.0,5.0
18:11:26,0.0,0.0,0.0,0.0,0.0,5.0
18:11:27,0.0,0.0,0.0,0.0,0.0,5.0
